model,fold,r2,mae,rmse,test_rows,test_games
Mean baseline,1,-2.13901745027556e-06,0.9386377442246274,1.5848268150049154,906,10
Linear Regression,1,0.6216039912788092,0.6952555937667037,0.9748877644959488,906,10
Random Forest,1,0.5235814881882275,0.7021519645841047,1.0938950582662526,906,10
Mean baseline,2,-0.004662750589261133,1.26790216680723,1.8267106513754214,912,10
Linear Regression,2,0.36767726907875153,1.1134190854565666,1.449202277958909,912,10
Random Forest,2,0.27739566930593473,1.05929977221394,1.5492085705156786,912,10
Mean baseline,3,-0.06023804468628047,1.1505276344749213,1.749216346172225,907,10
Linear Regression,3,0.12361225176555402,1.3253574422794703,1.5903400054305272,907,10
Random Forest,3,0.6059458237429599,0.7119582139822666,1.066399179846917,907,10
Mean baseline,4,-0.030114848965399954,1.164526797718677,1.7252982232469871,912,10
Linear Regression,4,0.12270163875418116,1.1972763200965706,1.5921904342054165,912,10
Random Forest,4,0.5619177073872657,0.7186422924881994,1.1251209228488737,912,10
Mean baseline,5,-0.030557137882077257,0.931000874827851,1.4075576854898153,912,10
Linear Regression,5,0.0176007309625813,0.9520907008136311,1.3742766891397038,912,10
Random Forest,5,0.28999397474657385,0.7670921946619906,1.1683183064397615,912,10
