,Game,Date,Month_Since_Release,Avg_Players,Log_Players
0,Counter-Strike 2,2026-04-01,166,974785.71,13.789972941208422
1,Counter-Strike 2,2026-03-01,165,1069173.12,13.882396122639072
2,Counter-Strike 2,2026-02-01,164,1084094.59,13.896255717322385
3,Counter-Strike 2,2026-01-01,163,1070443.78,13.883583868117602
4,Counter-Strike 2,2025-12-01,162,991176.89,13.80664829385174
5,Counter-Strike 2,2025-11-01,161,981482.45,13.796819411744087
6,Counter-Strike 2,2025-10-01,160,948244.21,13.762367353547795
7,Counter-Strike 2,2025-09-01,159,925940.31,13.738565051507482
8,Counter-Strike 2,2025-08-01,158,928429.24,13.7412494479317
9,Counter-Strike 2,2025-07-01,157,920069.98,13.732205011349802
10,Counter-Strike 2,2025-06-01,156,1010123.99,13.825583643658996
11,Counter-Strike 2,2025-05-01,155,1038596.81,13.853381138945313
12,Counter-Strike 2,2025-04-01,154,1045701.65,13.860198653475843
13,Counter-Strike 2,2025-03-01,153,1039662.81,13.854406997392667
14,Counter-Strike 2,2025-02-01,152,1003570.56,13.819074758647968
15,Counter-Strike 2,2025-01-01,151,914092.22,13.725686742501873
16,Counter-Strike 2,2024-12-01,150,913953.36,13.725534820687901
17,Counter-Strike 2,2024-11-01,149,852164.3,13.655534627595724
18,Counter-Strike 2,2024-10-01,148,829438.76,13.628504558280252
19,Counter-Strike 2,2024-09-01,147,836306.66,13.636750642987316
20,Counter-Strike 2,2024-08-01,146,897337.88,13.707187747930593
21,Counter-Strike 2,2024-07-01,145,875365.08,13.682396312607445
22,Counter-Strike 2,2024-06-01,144,947520.53,13.761603883250155
23,Counter-Strike 2,2024-05-01,143,958207.34,13.77281946359802
24,Counter-Strike 2,2024-04-01,142,930748.98,13.743744895843951
25,Counter-Strike 2,2024-03-01,141,885629.69,13.69405418510819
26,Counter-Strike 2,2024-02-01,140,786630.82,13.57551431949883
27,Counter-Strike 2,2024-01-01,139,760859.23,13.542203639443766
28,Counter-Strike 2,2023-12-01,138,770094.8,13.554268903134721
29,Counter-Strike 2,2023-11-01,137,714511.43,13.479354273424946
30,Counter-Strike 2,2023-10-01,136,792124.96,13.582474436128736
31,Counter-Strike 2,2023-09-01,135,976137.99,13.79135923859829
32,Counter-Strike 2,2023-08-01,134,922152.86,13.734466280553846
33,Counter-Strike 2,2023-07-01,133,881690.91,13.689596831392848
34,Counter-Strike 2,2023-06-01,132,1085966.81,13.897981217314708
35,Counter-Strike 2,2023-05-01,131,1117517.4,13.92662017581844
36,Counter-Strike 2,2023-04-01,130,918085.6,13.730045911442836
37,Counter-Strike 2,2023-03-01,129,843474.54,13.645284996754471
38,Counter-Strike 2,2023-02-01,128,805105.9,13.598729100543421
39,Counter-Strike 2,2023-01-01,127,726150.29,13.495512283402393
40,Counter-Strike 2,2022-12-01,126,629325.0,13.35240309540638
41,Counter-Strike 2,2022-11-01,125,621005.99,13.339096006601785
42,Counter-Strike 2,2022-10-01,124,608349.53,13.318504880633723
43,Counter-Strike 2,2022-09-01,123,618776.04,13.33549867682798
44,Counter-Strike 2,2022-08-01,122,641444.78,13.371478379831606
45,Counter-Strike 2,2022-07-01,121,594453.07,13.29539705171107
46,Counter-Strike 2,2022-06-01,120,572222.47,13.257283128313315
47,Counter-Strike 2,2022-05-01,119,564961.7,13.244513220220275
48,Counter-Strike 2,2022-04-01,118,568983.16,13.25160611688843
49,Counter-Strike 2,2022-03-01,117,581489.69,13.273348520775079
50,Counter-Strike 2,2022-02-01,116,634638.4,13.360810666858374
51,Counter-Strike 2,2022-01-01,115,602376.27,13.308637562261639
52,Counter-Strike 2,2021-12-01,114,546614.19,13.211498512622123
53,Counter-Strike 2,2021-11-01,113,548161.67,13.214325540669002
54,Counter-Strike 2,2021-10-01,112,512435.85,13.146930811428483
55,Counter-Strike 2,2021-09-01,111,512350.92,13.146765059873758
56,Counter-Strike 2,2021-08-01,110,512081.96,13.14623996933551
57,Counter-Strike 2,2021-07-01,109,506067.36,13.134425061939229
58,Counter-Strike 2,2021-06-01,108,549347.08,13.216485724742187
59,Counter-Strike 2,2021-05-01,107,659888.89,13.399826751345563
60,Counter-Strike 2,2021-04-01,106,723346.52,13.491643667097108
61,Counter-Strike 2,2021-03-01,105,740927.82,13.515658490626786
62,Counter-Strike 2,2021-02-01,104,741013.24,13.515773771864886
63,Counter-Strike 2,2021-01-01,103,743209.66,13.518733464244441
64,Counter-Strike 2,2020-12-01,102,717803.75,13.483951481978458
65,Counter-Strike 2,2020-11-01,101,668754.58,13.413172425767032
66,Counter-Strike 2,2020-10-01,100,613666.69,13.327207209569918
67,Counter-Strike 2,2020-09-01,99,606850.32,13.316037449847544
68,Counter-Strike 2,2020-08-01,98,639957.66,13.369157296897434
69,Counter-Strike 2,2020-07-01,97,625900.81,13.346947187048398
70,Counter-Strike 2,2020-06-01,96,671647.46,13.417488868752452
71,Counter-Strike 2,2020-05-01,95,768795.25,13.552579958159196
72,Counter-Strike 2,2020-04-01,94,857604.22,13.661897989995524
73,Counter-Strike 2,2020-03-01,93,671033.29,13.416574027241788
74,Counter-Strike 2,2020-02-01,92,543979.15,13.206666197897691
75,Counter-Strike 2,2020-01-01,91,501196.0,13.124752521126233
76,Counter-Strike 2,2019-12-01,90,456701.56,13.031785414976321
77,Counter-Strike 2,2019-11-01,89,426080.81,12.962384302097398
78,Counter-Strike 2,2019-10-01,88,408995.31,12.921458967966528
79,Counter-Strike 2,2019-09-01,87,410925.6,12.92616745519412
80,Counter-Strike 2,2019-08-01,86,415097.3,12.936268229563218
81,Counter-Strike 2,2019-07-01,85,393782.83,12.883554843424024
82,Counter-Strike 2,2019-06-01,84,389376.72,12.872302585849571
83,Counter-Strike 2,2019-05-01,83,364417.31,12.806054945983957
84,Counter-Strike 2,2019-04-01,82,351989.92,12.77135781780657
85,Counter-Strike 2,2019-03-01,81,390240.16,12.874517623453762
86,Counter-Strike 2,2019-02-01,80,371358.96,12.824924420987324
87,Counter-Strike 2,2019-01-01,79,401366.87,12.902631175814514
88,Counter-Strike 2,2018-12-01,78,395509.26,12.887929479316515
89,Counter-Strike 2,2018-11-01,77,310085.43,12.644603119141118
90,Counter-Strike 2,2018-10-01,76,325907.82,12.694369859628294
91,Counter-Strike 2,2018-09-01,75,333163.99,12.7163901102052
92,Counter-Strike 2,2018-08-01,74,283531.31,12.555077836968902
93,Counter-Strike 2,2018-07-01,73,273307.26,12.518351935778485
94,Counter-Strike 2,2018-06-01,72,266862.24,12.494487849175595
95,Counter-Strike 2,2018-05-01,71,262170.88,12.476751783884746
96,Counter-Strike 2,2018-04-01,70,289076.7,12.574447329806645
97,Counter-Strike 2,2018-03-01,69,354270.33,12.777815544755933
98,Counter-Strike 2,2018-02-01,68,382457.1,12.85437176909593
99,Counter-Strike 2,2018-01-01,67,382030.53,12.853255805861131
100,Counter-Strike 2,2017-12-01,66,340876.88,12.739276635350869
101,Counter-Strike 2,2017-11-01,65,321131.4,12.679605664147413
102,Counter-Strike 2,2017-10-01,64,341861.26,12.742160261222768
103,Counter-Strike 2,2017-09-01,63,354402.09,12.77818739498687
104,Counter-Strike 2,2017-08-01,62,374425.69,12.833148637684564
105,Counter-Strike 2,2017-07-01,61,377589.04,12.841561687408507
106,Counter-Strike 2,2017-06-01,60,374388.04,12.833048078630895
107,Counter-Strike 2,2017-05-01,59,371829.34,12.82619026455028
108,Counter-Strike 2,2017-04-01,58,392199.19,12.87952512746943
109,Counter-Strike 2,2017-03-01,57,386908.72,12.86594407855817
110,Counter-Strike 2,2017-02-01,56,402385.71,12.905166385208673
111,Counter-Strike 2,2017-01-01,55,393109.53,12.881843554311207
112,Counter-Strike 2,2016-12-01,54,342195.7,12.743138074610258
113,Counter-Strike 2,2016-11-01,53,329045.26,12.703950588674903
114,Counter-Strike 2,2016-10-01,52,333076.46,12.716127352215938
115,Counter-Strike 2,2016-09-01,51,322525.89,12.68393869106554
116,Counter-Strike 2,2016-08-01,50,347229.25,12.757740503611593
117,Counter-Strike 2,2016-07-01,49,353777.56,12.776423633032113
118,Counter-Strike 2,2016-06-01,48,334311.06,12.719827155917162
119,Counter-Strike 2,2016-05-01,47,338738.39,12.732983377525983
120,Counter-Strike 2,2016-04-01,46,375795.87,12.836801376012874
121,Counter-Strike 2,2016-03-01,45,379426.95,12.846417367170645
122,Counter-Strike 2,2016-02-01,44,376285.02,12.838102167125843
123,Counter-Strike 2,2016-01-01,43,365371.09,12.808668801022042
124,Counter-Strike 2,2015-12-01,42,377447.11,12.841185731895195
125,Counter-Strike 2,2015-11-01,41,360925.88,12.79642789767472
126,Counter-Strike 2,2015-10-01,40,362766.09,12.801513525379569
127,Counter-Strike 2,2015-09-01,39,355905.33,12.78242004750303
128,Counter-Strike 2,2015-08-01,38,357535.24,12.786989209684732
129,Counter-Strike 2,2015-07-01,37,329532.38,12.70542989820273
130,Counter-Strike 2,2015-06-01,36,344156.01,12.748850350989443
131,Counter-Strike 2,2015-05-01,35,317286.29,12.66755976831758
132,Counter-Strike 2,2015-04-01,34,291748.74,12.58364823137341
133,Counter-Strike 2,2015-03-01,33,267996.31,12.498728490741488
134,Counter-Strike 2,2015-02-01,32,239934.64,12.388121831901339
