Game,is_free,Action,Adventure,Casual,Early Access,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Co-op,Multi-player,Online Co-op,Single-player
Counter-Strike 2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PUBG: BATTLEGROUNDS,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Dota 2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Apex Legends™,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Delta Force,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1
Bongo Cat,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1
Rust,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0
Stardew Valley,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
Marvel Rivals,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Grand Theft Auto V Enhanced,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Tom Clancy's Rainbow Six Siege,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
War Thunder,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1
Warframe,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Overwatch,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Geometry Dash,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NARAKA: BLADEPOINT,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
DayZ,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
Team Fortress 2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dead by Daylight,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
VRChat,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0
Don't Starve Together,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1
Baldur's Gate 3,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1
Euro Truck Simulator 2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1
Battlefield™ 6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Limbus Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hearts of Iron IV,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
HELLDIVERS™ 2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ELDEN RING,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Call of Duty®,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Red Dead Redemption 2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Sid Meier's Civilization® VII,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Street Fighter™ 6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Cyberpunk 2077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
R.E.P.O.,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1
Terraria,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1
Project Zomboid,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1
RimWorld,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
ARK: Survival Ascended,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1
Mount & Blade II: Bannerlord,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
Monster Hunter: World,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Rocket League®,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1
Hunt: Showdown 1896,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
The Sims™ 4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
World of Warships,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0
Garry's Mod,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
Palworld,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1
Valheim,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1
BeamNG.drive,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Satisfactory,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1
Black Desert,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0
