,Game,Date,Avg_Players
0,Counter-Strike 2,2026-04-01,974785.71
1,Counter-Strike 2,2026-03-01,1069173.12
2,Counter-Strike 2,2026-02-01,1084094.59
3,Counter-Strike 2,2026-01-01,1070443.78
4,Counter-Strike 2,2025-12-01,991176.89
5,Counter-Strike 2,2025-11-01,981482.45
6,Counter-Strike 2,2025-10-01,948244.21
7,Counter-Strike 2,2025-09-01,925940.31
8,Counter-Strike 2,2025-08-01,928429.24
9,Counter-Strike 2,2025-07-01,920069.98
10,Counter-Strike 2,2025-06-01,1010123.99
11,Counter-Strike 2,2025-05-01,1038596.81
12,Counter-Strike 2,2025-04-01,1045701.65
13,Counter-Strike 2,2025-03-01,1039662.81
14,Counter-Strike 2,2025-02-01,1003570.56
15,Counter-Strike 2,2025-01-01,914092.22
16,Counter-Strike 2,2024-12-01,913953.36
17,Counter-Strike 2,2024-11-01,852164.30
18,Counter-Strike 2,2024-10-01,829438.76
19,Counter-Strike 2,2024-09-01,836306.66
20,Counter-Strike 2,2024-08-01,897337.88
21,Counter-Strike 2,2024-07-01,875365.08
22,Counter-Strike 2,2024-06-01,947520.53
23,Counter-Strike 2,2024-05-01,958207.34
24,Counter-Strike 2,2024-04-01,930748.98
25,Counter-Strike 2,2024-03-01,885629.69
26,Counter-Strike 2,2024-02-01,786630.82
27,Counter-Strike 2,2024-01-01,760859.23
28,Counter-Strike 2,2023-12-01,770094.80
29,Counter-Strike 2,2023-11-01,714511.43
30,Counter-Strike 2,2023-10-01,792124.96
31,Counter-Strike 2,2023-09-01,976137.99
32,Counter-Strike 2,2023-08-01,922152.86
33,Counter-Strike 2,2023-07-01,881690.91
34,Counter-Strike 2,2023-06-01,1085966.81
35,Counter-Strike 2,2023-05-01,1117517.40
36,Counter-Strike 2,2023-04-01,918085.60
37,Counter-Strike 2,2023-03-01,843474.54
38,Counter-Strike 2,2023-02-01,805105.90
39,Counter-Strike 2,2023-01-01,726150.29
40,Counter-Strike 2,2022-12-01,629325.00
41,Counter-Strike 2,2022-11-01,621005.99
42,Counter-Strike 2,2022-10-01,608349.53
43,Counter-Strike 2,2022-09-01,618776.04
44,Counter-Strike 2,2022-08-01,641444.78
45,Counter-Strike 2,2022-07-01,594453.07
46,Counter-Strike 2,2022-06-01,572222.47
47,Counter-Strike 2,2022-05-01,564961.70
48,Counter-Strike 2,2022-04-01,568983.16
49,Counter-Strike 2,2022-03-01,581489.69
50,Counter-Strike 2,2022-02-01,634638.40
51,Counter-Strike 2,2022-01-01,602376.27
52,Counter-Strike 2,2021-12-01,546614.19
53,Counter-Strike 2,2021-11-01,548161.67
54,Counter-Strike 2,2021-10-01,512435.85
55,Counter-Strike 2,2021-09-01,512350.92
56,Counter-Strike 2,2021-08-01,512081.96
57,Counter-Strike 2,2021-07-01,506067.36
58,Counter-Strike 2,2021-06-01,549347.08
59,Counter-Strike 2,2021-05-01,659888.89
60,Counter-Strike 2,2021-04-01,723346.52
61,Counter-Strike 2,2021-03-01,740927.82
62,Counter-Strike 2,2021-02-01,741013.24
63,Counter-Strike 2,2021-01-01,743209.66
64,Counter-Strike 2,2020-12-01,717803.75
65,Counter-Strike 2,2020-11-01,668754.58
66,Counter-Strike 2,2020-10-01,613666.69
67,Counter-Strike 2,2020-09-01,606850.32
68,Counter-Strike 2,2020-08-01,639957.66
69,Counter-Strike 2,2020-07-01,625900.81
70,Counter-Strike 2,2020-06-01,671647.46
71,Counter-Strike 2,2020-05-01,768795.25
72,Counter-Strike 2,2020-04-01,857604.22
73,Counter-Strike 2,2020-03-01,671033.29
74,Counter-Strike 2,2020-02-01,543979.15
75,Counter-Strike 2,2020-01-01,501196.00
76,Counter-Strike 2,2019-12-01,456701.56
77,Counter-Strike 2,2019-11-01,426080.81
78,Counter-Strike 2,2019-10-01,408995.31
79,Counter-Strike 2,2019-09-01,410925.60
80,Counter-Strike 2,2019-08-01,415097.30
81,Counter-Strike 2,2019-07-01,393782.83
82,Counter-Strike 2,2019-06-01,389376.72
83,Counter-Strike 2,2019-05-01,364417.31
84,Counter-Strike 2,2019-04-01,351989.92
85,Counter-Strike 2,2019-03-01,390240.16
86,Counter-Strike 2,2019-02-01,371358.96
87,Counter-Strike 2,2019-01-01,401366.87
88,Counter-Strike 2,2018-12-01,395509.26
89,Counter-Strike 2,2018-11-01,310085.43
90,Counter-Strike 2,2018-10-01,325907.82
